gene_symbol,Rab22a
pvalue,0.1121284
analysis_id,g53rm76ww6c5075
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:105072
parameter_name,Initial response to glucose challenge
parameter_id,IMPC_IPG_011_001
