parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_strain,C57BL
pvalue,0.25546
parameter_name,Fat/Body weight
analysis_id,m5u45301hl4tf14
mouse_life_stage,Middle aged adult
