gene_symbol,Cpa3
gene_accession_id,MGI:88479
parameter_id,MGP_IMM_089_001
analysis_id,1d1mrxlbygau13k
pvalue,0.5444697
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
