gene_symbol,Trim46
gene_accession_id,MGI:2673000
pvalue,0.0774454
parameter_name,Response amplitude - S
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
mouse_life_stage,Early adult
analysis_id,59723d0k2lb5453
