gene_symbol,Snap23
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
pvalue,0.1480728
mouse_strain,C57BL
parameter_name,Center distance travelled
parameter_id,JAX_OFD_014_001
analysis_id,gtj6wsui4pn882q
