analysis_id,lu56yppd5n2rw1a
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_003_001
gene_symbol,Sfpq
mouse_strain,C57BL
pvalue,0.5378412
parameter_name,Hemoglobin
gene_accession_id,MGI:1918764
