gene_symbol,Fpgs
mouse_life_stage,Early adult
analysis_id,gl9363iw7371284
pvalue,0.09086269
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
parameter_id,TCPLA_GRS_011_001
gene_accession_id,MGI:95576
