analysis_id,77l70h3ab2560v1
parameter_name,White blood cell-count
mouse_strain,C57BL
gene_symbol,Ahcy
pvalue,0.06633587
gene_accession_id,MGI:87968
parameter_id,M-G-P_016_001_001
mouse_life_stage,E9.5
