analysis_id,za07u60a2yxx583
pvalue,0.9275416
gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_id,MGP_PBI_003_001
gene_accession_id,MGI:1914583
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
