parameter_name,Clavicle
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_007_001
analysis_id,54ph75a2a8he3j0
gene_accession_id,MGI:99915
gene_symbol,Lamb3
pvalue,0.5857096
