parameter_name,Body length
gene_accession_id,MGI:1915848
pvalue,0.317507
gene_symbol,Dnajc8
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_006_001
analysis_id,9pyi6h5n9l6m036
