analysis_id,knq45215n6pzocb
pvalue,0.4305698
parameter_id,HRWLLA_OFD_011_001
gene_symbol,Duoxa2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914061
parameter_name,Periphery resting time
