gene_symbol,Ola1
mouse_life_stage,E18.5
mouse_strain,C57BL
analysis_id,9he43610tzf844i
pvalue,0.09375012
gene_accession_id,MGI:1914309
parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
