analysis_id,3zt2nh29616t17g
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Creatinine
pvalue,0.4463947
