analysis_id,07gl10pkgm5h8r7
mouse_life_stage,Early adult
pvalue,0.2144787
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
