gene_symbol,Cisd2
parameter_id,IMPC_ECG_010_001
pvalue,0.6665579
gene_accession_id,MGI:1914256
parameter_name,HRV
mouse_strain,C57BL
analysis_id,86xsob9i649e439
mouse_life_stage,Early adult
