gene_symbol,Lcn2
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
parameter_id,MGP_PBI_003_001
pvalue,0.6233889
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
analysis_id,495oa5246rj59e2
