analysis_id,c5rs1ey1jna3v1t
parameter_name,Lens
gene_accession_id,MGI:2446186
pvalue,0.3340296
gene_symbol,Lpgat1
parameter_id,IMPC_EYE_016_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
