gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_name,Vocalization
analysis_id,06jkrf26j765317
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
pvalue,0.4130332
