gene_symbol,Jun
parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
mouse_life_stage,E9.5
pvalue,0.822108
analysis_id,6v16212568x81m1
gene_accession_id,MGI:96646
mouse_strain,C57BL
