analysis_id,73893504x7daw73
pvalue,0.3226015
parameter_name,Contact righting
parameter_id,JAXLA_CSD_077_001
gene_symbol,Nr0b2
mouse_strain,B6J
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
