parameter_name,Alkaline phosphatase
pvalue,0.2144134
mouse_strain,C57BL
gene_symbol,Abo
analysis_id,bq9su4x4t7vri22
gene_accession_id,MGI:2135738
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
