parameter_name,Neutrophil cell count
pvalue,0.5904195
gene_symbol,Tox
analysis_id,vdln9cy74yb052b
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:2181659
