gene_symbol,Eprs1
analysis_id,02bs92ukgche8p4
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.7191422
parameter_name,Mean corpuscular hemoglobin
parameter_id,IMPC_HEM_006_001
gene_accession_id,MGI:97838
