parameter_name,Lean mass
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,b894b8y04120tu4
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
pvalue,0.4375763
parameter_id,IMPC_DXA_003_001
