gene_symbol,Rab3gap2
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_009_001
analysis_id,5r5l524i934gt37
pvalue,0.8864894
