parameter_name,Whole arena resting time
gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_strain,C57BL
parameter_id,ESLIM_007_001_003
mouse_life_stage,Early adult
pvalue,0.7940754
analysis_id,4nm73m74i2f9i63
