analysis_id,92c9df0cj1e014x
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
pvalue,0.9068199
gene_accession_id,MGI:1914061
gene_symbol,Duoxa2
parameter_name,B Cells
mouse_strain,C57BL
