analysis_id,3268g2fwxy1nfv1
pvalue,0.8649389
gene_accession_id,MGI:2385884
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Whole arena average speed
gene_symbol,Ddx27
parameter_id,IMPC_OFD_009_001
