parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:2444114
gene_symbol,Zcchc2
pvalue,0.8528572
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
analysis_id,g4c38ub8z66a4rp
