analysis_id,9x1j8t75iv38796
gene_symbol,Kdm4c
pvalue,0.8889354
mouse_strain,C57BL
parameter_name,White blood cell-count
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
parameter_id,M-G-P_016_001_001
