analysis_id,own9q6275k67c23
parameter_name,Periphery permanence time
pvalue,0.9680209
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
mouse_life_stage,E9.5
