parameter_name,Eyelid morphology
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.9264297
parameter_id,IMPC_EYE_004_001
analysis_id,0fm4332f9v3o4f9
