analysis_id,d90medg161arz1h
mouse_life_stage,Late adult
parameter_name,Creatinine
pvalue,0.4608131
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_id,HMGULA_CBC_005_001
