analysis_id,j3sb40661qi40lu
parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
pvalue,0.4793922
parameter_name,Cue Baseline % Freezing Time
gene_symbol,Wars2
mouse_strain,C57BL
