parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
gene_symbol,Ift74
pvalue,0.1805547
analysis_id,f0b8e67fgt92eq2
mouse_strain,C57BL
