analysis_id,x0ph71r7f9398hz
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1997213
parameter_id,MGP_PBI_002_001
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
