parameter_name,Placenta Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
pvalue,0.5187818
analysis_id,4540zwmy42t71a0
