analysis_id,ccgf48623llq9m9
mouse_life_stage,Early adult
parameter_name,Mean-cell-volume
pvalue,0.3985422
mouse_strain,C57BL
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_id,M-G-P_016_001_005
