analysis_id,j6p4689i3086p06
pvalue,0.09510656
gene_accession_id,MGI:88380
parameter_name,Pericardium Morphology
gene_symbol,F2
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
mouse_strain,C57BL
