analysis_id,897b19y7262801y
mouse_strain,C57BL
gene_accession_id,MGI:1929866
parameter_id,IMPC_GEL_017_002
parameter_name,Pale yolk sac
mouse_life_stage,Early adult
pvalue,0.5348046
gene_symbol,Rgs20
