analysis_id,508gm90el0i7s20
pvalue,0.6897229
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
gene_symbol,Traf6
parameter_id,MGP_MLN_031_001
