analysis_id,367ln587y29bfc1
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
gene_accession_id,MGI:95576
pvalue,0.8168584
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
gene_symbol,Fpgs
