parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
analysis_id,hg7o5v5u6mw4x7d
mouse_strain,C57BL
gene_symbol,Hrnr
mouse_life_stage,Early adult
pvalue,0.8241693
gene_accession_id,MGI:3046938
