analysis_id,ponhu648qxv82b4
parameter_name,Tremor
mouse_life_stage,Early adult
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
gene_symbol,Ift74
gene_accession_id,MGI:1914944
pvalue,0.1044646
