gene_symbol,Hpca
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
analysis_id,4o7m57r220fzzh8
mouse_strain,C55BL
gene_accession_id,MGI:1336200
pvalue,0.544684
parameter_name,B Cells
