parameter_id,CCP_XRY_001_001
analysis_id,55o8olv3mcu24ci
gene_accession_id,MGI:1915325
pvalue,0.1853488
mouse_strain,C57BL
parameter_name,Skull shape
gene_symbol,Lurap1
mouse_life_stage,Early adult
