analysis_id,2580gvjn9kn4f76
pvalue,0.1143258
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
gene_symbol,Bcs1l
parameter_name,Calcium
