gene_symbol,Trp53rkb
parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
parameter_name,BMC/Body weight
pvalue,0.6553153
gene_accession_id,MGI:1914050
analysis_id,cjb5748ppi1hnf1
mouse_life_stage,Early adult
