parameter_name,Shape of vertebrae
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
parameter_id,IMPC_XRY_018_001
gene_symbol,Ap5s1
pvalue,0.2027095
analysis_id,431g30l65715im2
