gene_symbol,Kcng1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3616086
parameter_id,ESLIM_008_001_013
pvalue,0.3222296
parameter_name,Startle response
analysis_id,8t85pb9549893jn
