gene_symbol,Ola1
parameter_name,Fractional Shortening
mouse_strain,C57BL
gene_accession_id,MGI:1914309
parameter_id,IMPC_ECH_005_001
pvalue,0.296938
mouse_life_stage,Early adult
analysis_id,rh811hjm23v0qsm
