parameter_name,NK Subsets (Q2)
mouse_life_stage,Early adult
pvalue,0.5292325
parameter_id,IMPC_IMM_055_001
gene_symbol,Npbwr1
mouse_strain,C57BL
analysis_id,9o4ss2622611kax
gene_accession_id,MGI:891989
