parameter_id,JAXLA_OFD_020_001
analysis_id,x70j4m9c5lh511m
mouse_strain,B6J
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
pvalue,0.08010889
