analysis_id,0cer503c9u3bfke
parameter_name,Periphery permanence time
pvalue,0.6687532
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
gene_symbol,Snap23
mouse_life_stage,Late adult
