analysis_id,d4mskvfp96lgdh6
gene_symbol,Bcs1l
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_name,Total T cell percentage
pvalue,0.07188063
mouse_life_stage,Early adult
