gene_symbol,Ahctf1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,t341p5901p62x0u
pvalue,0.1662727
gene_accession_id,MGI:1915033
parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
