gene_symbol,Cds2
mouse_strain,129SV
parameter_id,MGP_IMM_071_001
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.1987603
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
analysis_id,p2k87n9p359908h
