gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_001
parameter_name,NKT cells (panel A)
mouse_strain,C57BL
gene_accession_id,MGI:1914583
analysis_id,orx9nmw63053gri
pvalue,0.4937597
