analysis_id,x87s6zlgg9pjs9r
mouse_strain,C57BL
gene_accession_id,MGI:1929866
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Rgs20
parameter_id,MGP_IMM_073_001
mouse_life_stage,Early adult
pvalue,0.7804369
