gene_symbol,Opn3
mouse_strain,C57BL
analysis_id,935s4sk1anfzk62
pvalue,0.5320155
gene_accession_id,MGI:1338022
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
parameter_name,Shape of ribcage
