gene_symbol,Alkbh3
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:1916363
pvalue,0.6594626
parameter_name,UIBC (unsaturated iron binding capacity)
analysis_id,n505vi58o2xi5j0
mouse_strain,C57BL
