mouse_strain,B6J
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,IMPC_IMM_069_001
analysis_id,lr26j1031v2b676
gene_symbol,Nr0b2
parameter_name,Transitional B Cells (CD21/35 low)
pvalue,0.2668272
