analysis_id,r2oa5mq949ll1yc
parameter_id,IMPC_CSD_029_001
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
pvalue,0.05928131
parameter_name,Activity (body position)
mouse_strain,C57BL
